entity_id,student_activity_code,student_activity_desc,student_particip_desc,activity_office_desc
808239,ASC,Athletic Study Center,Participated,NULL
808239,LCSP,SLCP-Student Participants,Participated,NULL
808239,USBR,Summer Bridge Program Participant,Participated,NULL
808297,GAOI,Alpha Omicron Pi,Participated,NULL
808327,GADI,Alpha Delta Pi,Participated,NULL
808352,NULL,NULL,NULL,NULL
808384,NULL,NULL,NULL,NULL
808457,NULL,NULL,NULL,NULL
808492,NULL,NULL,NULL,NULL
808546,AALJ,Asian American Law Journal,Participated,NULL
808546,BCLT,Berkeley Center for Law and Technology,Participated,NULL
808546,CLRV,California Law Review,Participated,NULL
808546,LWAP,Asian Pacific Amer Law Students Assn,Participated,NULL
808546,LWBT,Berkeley Technology Law Journal,Participated,NULL
808546,WOCC,Women of Color Collective,Participated,NULL
808577,RHIH,International House Resident,Participated,NULL
808577,UERAP,Undergrad Research Apprentice Pgm (URAP),Participated,NULL
808640,NULL,NULL,NULL,NULL
808751,NULL,NULL,NULL,NULL
808814,SCCC,Cal Corps Friends and Alumni,Participated,NULL
808814,UHAB,Habitat For Humanity-Berkeley Chapt,Participated,NULL
808823,NULL,NULL,NULL,NULL
809094,DSPA,Disabled Student Program Alumni,Participated,User of Service
809094,GADI,Alpha Delta Pi,Participated,NULL
809094,UAOP,ASUC Office Of The President,Participated,NULL
809094,UDCM,Dance Marathon,Participated,NULL
809107,UBUI,BUILD Literacy Program,Participated,NULL
809107,USBR,Summer Bridge Program Participant,Participated,NULL
809157,NULL,NULL,NULL,NULL
809164,NULL,NULL,NULL,NULL
809171,NULL,NULL,NULL,NULL
809222,GAOI,Alpha Omicron Pi,Participated,NULL
809222,STMA,CAF Calling Telemarketing Alumni,Participated,NULL
809236,MSCH,UC Choral Ensembles,Participated,NULL
809236,UHAB,Habitat For Humanity-Berkeley Chapt,Participated,NULL
809241,NULL,NULL,NULL,NULL
809256,ASC,Athletic Study Center,Participated,NULL
809312,NULL,NULL,NULL,NULL
809335,NULL,NULL,NULL,NULL
809467,LCSP,SLCP-Student Participants,Participated,NULL
809467,LSAP,Assoc of Psychology Undergraduates,Participated,NULL
809467,UBUI,BUILD Literacy Program,Participated,NULL
809676,CLAS,ASUC Officer/Senator,Participated,NULL
809676,ENSCG,Engineering Senior Class Gift Committee,Participated,NULL
809676,LCSP,SLCP-Student Participants,Participated,NULL
809693,UALB,Al-Bayan Newspaper,Participated,NULL
809693,UMSU,Muslim Student Union,Participated,NULL
809693,UMUS,Muslim Students' Association,Participated,NULL
809720,ASC,Athletic Study Center,Participated,NULL
809722,GDUP,Delta Upsilon,Participated,NULL
809722,LCSP,SLCP-Student Participants,Participated,NULL
809722,UPPP,Partneship for Pre-Pfsnl Pilipinos,Participated,NULL
809722,USBR,Summer Bridge Program Participant,Participated,NULL
809770,EACHL,Education Abroad Program - Chile,Participated,NULL
809770,LCSP,SLCP-Student Participants,Participated,NULL
809770,ULEP,Lepanto League,Participated,NULL
809770,USFL,Berkeley Students For Life,Participated,NULL
809894,NULL,NULL,NULL,NULL
809901,NULL,NULL,NULL,NULL
809921,NULL,NULL,NULL,NULL
809939,NULL,NULL,NULL,NULL
810005,NULL,NULL,NULL,NULL
810092,NULL,NULL,NULL,NULL
810095,NULL,NULL,NULL,NULL
810106,CLCP,Cal in the Capital Intern,Participated,NULL
810106,UERAP,Undergrad Research Apprentice Pgm (URAP),Participated,NULL
810117,CLSI,Cal in Sacramento Intern,Participated,NULL
810139,ASC,Athletic Study Center,Participated,NULL
810142,UERAP,Undergrad Research Apprentice Pgm (URAP),Participated,NULL
810142,USSC,Cal Ski & Snowboard Club,Participated,NULL
810250,GDKE,Delta Kappa Epsilon,Participated,NULL
810290,NULL,NULL,NULL,NULL
810304,EAGBR,Education Abroad Program - United Kingdo,Participated,NULL
810304,EAIRL,Education Abroad Program - Ireland,Participated,NULL
810304,SCCC,Cal Corps Friends and Alumni,Participated,NULL
810304,UBUI,BUILD Literacy Program,Participated,NULL
810305,NULL,NULL,NULL,NULL
810342,DSPA,Disabled Student Program Alumni,Participated,User of Service
810353,NULL,NULL,NULL,NULL
810443,BIBSP,Biology Scholars Program,Participated,NULL
810443,EIP1,PDP Calculus Intensive,Participated,NULL
810443,EIR6,TRSP Transfer Student Services,Participated,NULL
810443,LCSP,SLCP-Student Participants,Participated,NULL
810443,SCCC,Cal Corps Friends and Alumni,Participated,NULL
810443,UBUI,BUILD Literacy Program,Participated,NULL
810443,UYI,Youth IMPACT,Participated,NULL
810446,NULL,NULL,NULL,NULL
