entity_id,committee_code,committee_desc,committee_role_desc,unit_desc
481768,NULL,NULL,NULL,NULL
481769,R1993,Class of 1993 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
481777,NULL,NULL,NULL,NULL
481784,NULL,NULL,NULL,NULL
481796,AA3,CAA Class Reunion Host Committee,Volunteer,Cal Alumni Association
481796,AUA1,Campus Life & Leadership Alumni Advisory,Board Member,Student Affairs
481796,BA1,CAA Board of Directors,Director,Cal Alumni Association
481796,BA1,CAA Board of Directors,President,Cal Alumni Association
481796,BA1,CAA Board of Directors,Vice President,Cal Alumni Association
481796,BR1,UC Board of Regents,Ex Officio,UC Berkeley Foundation
481796,CAPC,CAA President's Council,Member,Cal Alumni Association
481796,MO12,IGS National Advisory Council,Board Member,Governmental Studies Institute
481796,R1993,Class of 1993 Reunion Committee,Chair,Milestone & Next Gen Philanthropy - UDAR
481796,R1993,Class of 1993 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
481796,SKYSC,Skydeck Strategy Council,Member,Research Division
481796,UT1,UCBF Elected Trustees - Term 1,Appointed Trustee-CAA,UC Berkeley Foundation
481796,UT1,UCBF Elected Trustees - Term 1,App Trustee-CAA Past Pres,UC Berkeley Foundation
481796,UTGN,UCBF Nominating Committee,Committee Member,UC Berkeley Foundation
481799,NULL,NULL,NULL,NULL
481807,NULL,NULL,NULL,NULL
481820,NULL,NULL,NULL,NULL
481825,NULL,NULL,NULL,NULL
481827,NULL,NULL,NULL,NULL
481844,NULL,NULL,NULL,NULL
481883,NULL,NULL,NULL,NULL
481885,NULL,NULL,NULL,NULL
481902,NULL,NULL,NULL,NULL
481983,NULL,NULL,NULL,NULL
481984,NULL,NULL,NULL,NULL
482022,NULL,NULL,NULL,NULL
482030,NULL,NULL,NULL,NULL
482032,NULL,NULL,NULL,NULL
482037,NULL,NULL,NULL,NULL
482049,NULL,NULL,NULL,NULL
482050,NULL,NULL,NULL,NULL
482095,NULL,NULL,NULL,NULL
482108,NULL,NULL,NULL,NULL
482113,NULL,NULL,NULL,NULL
482125,NULL,NULL,NULL,NULL
482146,NULL,NULL,NULL,NULL
482206,NULL,NULL,NULL,NULL
482216,NULL,NULL,NULL,NULL
482234,NULL,NULL,NULL,NULL
482236,AU61,*Haas HAN Taiwan Chapter Board,Board Member,Business
482236,BU9,Haas HAN Taipei Chapter Board,Member,Business
482251,NULL,NULL,NULL,NULL
482283,NULL,NULL,NULL,NULL
482290,NULL,NULL,NULL,NULL
482311,NULL,NULL,NULL,NULL
482328,NULL,NULL,NULL,NULL
482371,NULL,NULL,NULL,NULL
482392,NULL,NULL,NULL,NULL
482406,NULL,NULL,NULL,NULL
482428,NULL,NULL,NULL,NULL
482498,NULL,NULL,NULL,NULL
482505,NULL,NULL,NULL,NULL
482508,NULL,NULL,NULL,NULL
482519,NULL,NULL,NULL,NULL
482557,NULL,NULL,NULL,NULL
482567,NULL,NULL,NULL,NULL
482630,NULL,NULL,NULL,NULL
482652,NULL,NULL,NULL,NULL
482712,UVPC,The Cal Parents Ambassadors,Member,Parent Philanthropy & Engagement - UDAR
482722,NULL,NULL,NULL,NULL
482735,NULL,NULL,NULL,NULL
482737,NULL,NULL,NULL,NULL
482749,NULL,NULL,NULL,NULL
482758,NULL,NULL,NULL,NULL
482775,NULL,NULL,NULL,NULL
482791,NULL,NULL,NULL,NULL
482801,NULL,NULL,NULL,NULL
482815,NULL,NULL,NULL,NULL
482827,NULL,NULL,NULL,NULL
482843,NULL,NULL,NULL,NULL
482848,NULL,NULL,NULL,NULL
482871,NULL,NULL,NULL,NULL
482888,R1993,Class of 1993 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
482914,NULL,NULL,NULL,NULL
482952,NULL,NULL,NULL,NULL
482958,NULL,NULL,NULL,NULL
482964,NULL,NULL,NULL,NULL
482968,NULL,NULL,NULL,NULL
482977,NULL,NULL,NULL,NULL
482983,NULL,NULL,NULL,NULL
482996,NULL,NULL,NULL,NULL
483034,NULL,NULL,NULL,NULL
483057,NULL,NULL,NULL,NULL
483153,NULL,NULL,NULL,NULL
483231,NULL,NULL,NULL,NULL
483233,NULL,NULL,NULL,NULL
483252,NULL,NULL,NULL,NULL
483318,NULL,NULL,NULL,NULL
483325,NULL,NULL,NULL,NULL
483326,NULL,NULL,NULL,NULL
483336,NULL,NULL,NULL,NULL
483343,NULL,NULL,NULL,NULL
483349,NULL,NULL,NULL,NULL
483422,NULL,NULL,NULL,NULL
483432,NULL,NULL,NULL,NULL
483441,NULL,NULL,NULL,NULL
483464,NULL,NULL,NULL,NULL
483470,NULL,NULL,NULL,NULL
483494,NULL,NULL,NULL,NULL
483535,MB1,Big C Board of Directors,Board Member,Intercollegiate Athletics
483535,UVPC,The Cal Parents Ambassadors,Member,Parent Philanthropy & Engagement - UDAR
483540,NULL,NULL,NULL,NULL
483548,NULL,NULL,NULL,NULL
483552,NULL,NULL,NULL,NULL
483555,AA3,CAA Class Reunion Host Committee,Volunteer,Cal Alumni Association
483555,MA7,CAA Young Alumni Council,Member,Cal Alumni Association
483560,NULL,NULL,NULL,NULL
483569,NULL,NULL,NULL,NULL
483575,NULL,NULL,NULL,NULL
483600,NULL,NULL,NULL,NULL
483635,NULL,NULL,NULL,NULL
483661,NULL,NULL,NULL,NULL
483668,NULL,NULL,NULL,NULL
483685,NULL,NULL,NULL,NULL
483706,AA3,CAA Class Reunion Host Committee,Volunteer,Cal Alumni Association
483715,NULL,NULL,NULL,NULL
483724,NULL,NULL,NULL,NULL
483725,NULL,NULL,NULL,NULL
483726,NULL,NULL,NULL,NULL
483728,NULL,NULL,NULL,NULL
483731,NULL,NULL,NULL,NULL
483737,NULL,NULL,NULL,NULL
483800,NULL,NULL,NULL,NULL
483871,NULL,NULL,NULL,NULL
483881,NULL,NULL,NULL,NULL
483895,NULL,NULL,NULL,NULL
483923,NULL,NULL,NULL,NULL
483924,NULL,NULL,NULL,NULL
483955,NULL,NULL,NULL,NULL
483974,NULL,NULL,NULL,NULL
483988,NULL,NULL,NULL,NULL
484007,NULL,NULL,NULL,NULL
484049,NULL,NULL,NULL,NULL
484077,NULL,NULL,NULL,NULL
484094,NULL,NULL,NULL,NULL
