entity_id,affil_code,affil_code_desc,affil_level_code_desc,affil_status_desc
328840,MA3,Cal Advocate,Advocate,Current
328840,MA31,CAA Leadership Scholarship Reader,Volunteer,Former
328840,MA9,*CAA Legislative Relations-Defunct,Member,Former
328840,RC30,CAA Lair Staff Alumni Club,Member,Current
328840,SSCHS,Social Sciences CHS,Member,Current
328844,URCR,@Cal Registrant,Member,Current
328847,CAFCA,Friends of CAA,Friend,Current
328878,CAFCA,Friends of CAA,Friend,Current
328878,TLOLI,Osher Lifelong Learning Institute,Member,Former
328882,ATFAT,Friends of Athletics,Friend,Current
328882,BAMFR,Followers of BAM/PFA,Friend,Current
328882,CAFCA,Friends of CAA,Friend,Current
328882,RC15,CAA Chicanx Latinx Alumni Assoc Nor Cal,Member,Current
328882,RC5,*CAA La Raza Alumni Club-Defunct,Member,Former
328893,CAFCA,Friends of CAA,Friend,Current
328909,ATFAT,Friends of Athletics,Friend,Current
328909,CAFCA,Friends of CAA,Friend,Current
328909,CHECM,Chemistry CHEMillenium Era,Member,Current
328915,CAFCA,Friends of CAA,Friend,Current
328915,CAFPC,CAA Friends of Pinecrest,Member,Current
328915,MA12,CAA Lair of the Golden Bear Camper,Member,Current
328916,ATFAT,Friends of Athletics,Friend,Current
328916,CAFCA,Friends of CAA,Friend,Current
328916,URCR,@Cal Registrant,Member,Current
328937,ATFAT,Friends of Athletics,Friend,Current
328937,CAFCA,Friends of CAA,Friend,Current
328937,MA30,TAAP/KASP Scholarship Reader,Volunteer,Former
328937,MA31,CAA Leadership Scholarship Reader,Volunteer,Former
328937,MA5,CAA Student Recruitment/Outreach Pgm,Volunteer,Former
328937,RC00,CAA Tri-Valley Cal Alumni Club,Member,Current
328937,RC00,CAA Tri-Valley Cal Alumni Club,Member,Former
328937,RC33,CAA Daily Cal Alumni,Member,Former
328937,X11,Daily Cal Staff Alumni,Staff,Current
328949,ATFAT,Friends of Athletics,Friend,Current
328949,CAFCA,Friends of CAA,Friend,Current
328949,MA12,CAA Lair of the Golden Bear Camper,Member,Current
328949,MA18,CAA Alumni Leadership Scholarship Interv,Volunteer,Current
328949,MB3,Big C Society,Member,Current
328949,RC92,CAA Cal Alumni Club of Sacramento,Member,Current
328959,ATFAT,Friends of Athletics,Friend,Current
328959,CAFCA,Friends of CAA,Friend,Current
328959,RC19,CAA Cal Alumni Club of Puget Sound,Member,Current
328991,ATFAT,Friends of Athletics,Friend,Current
328991,CAFCA,Friends of CAA,Friend,Current
328991,CHECM,Chemistry CHEMillenium Era,Member,Current
328991,MA3,Cal Advocate,Advocate,Current
329037,URCR,@Cal Registrant,Member,Current
329067,NULL,NULL,NULL,NULL
329081,CAFCA,Friends of CAA,Friend,Current
329081,GPSP,Gift Planning Stewardship Program,Member,Current
329081,MA3,Cal Advocate,Advocate,Former
329081,UBIW,Benjamin Ide Wheeler Society,Member,Current
329115,ATFAT,Friends of Athletics,Friend,Current
329115,MA3,Cal Advocate,Advocate,Current
329115,MA31,CAA Leadership Scholarship Reader,Volunteer,Former
329118,CAFCA,Friends of CAA,Friend,Current
329118,RC10,CAA Orange County Cal Alumni Club,Member,Former
329123,NULL,NULL,NULL,NULL
329166,CAFCA,Friends of CAA,Friend,Current
329166,MA3,Cal Advocate,Advocate,Current
329166,URCR,@Cal Registrant,Member,Current
329175,MA3,Cal Advocate,Advocate,Current
329175,RC85,CAA San Gabriel Valley Cal Alumni Club,Member,Current
329197,CAFCA,Friends of CAA,Friend,Current
329245,CAFCA,Friends of CAA,Friend,Current
329272,ATFAT,Friends of Athletics,Friend,Current
329319,MU1,*Haas Cal Business Alumni Member,Member,Former
329319,URCR,@Cal Registrant,Member,Current
329341,CAFCA,Friends of CAA,Friend,Current
329341,RC28,CAA Re-Entry Alumni Club,Member,Current
329341,RC58,CAA Cal Alumni Club of Philadelphia,Member,Current
329341,URCR,@Cal Registrant,Member,Current
329354,ATFAT,Friends of Athletics,Friend,Current
329354,CAFCA,Friends of CAA,Friend,Current
329354,CHECM,Chemistry CHEMillenium Era,Member,Current
329354,MA3,Cal Advocate,Advocate,Current
329443,BAMFR,Followers of BAM/PFA,Friend,Current
329445,CAFCA,Friends of CAA,Friend,Current
329445,MA3,Cal Advocate,Advocate,Current
329452,ATFAT,Friends of Athletics,Friend,Current
329452,CAFCA,Friends of CAA,Friend,Current
329452,MA3,Cal Advocate,Advocate,Current
329462,NULL,NULL,NULL,NULL
329464,CAFCA,Friends of CAA,Friend,Current
329464,MA12,CAA Lair of the Golden Bear Camper,Member,Former
329464,MA3,Cal Advocate,Advocate,Current
329497,MA3,Cal Advocate,Advocate,Current
329497,MA31,CAA Leadership Scholarship Reader,Volunteer,Former
329522,CAFCA,Friends of CAA,Friend,Current
329522,MA3,Cal Advocate,Advocate,Current
329529,CAFCA,Friends of CAA,Friend,Current
329529,MA3,Cal Advocate,Advocate,Current
329529,RC16,CAA BER Student Cooperative Alumni Assoc,Member,Current
329601,BAMFR,Followers of BAM/PFA,Friend,Current
329601,RC15,CAA Chicanx Latinx Alumni Assoc Nor Cal,Member,Current
329601,RC5,*CAA La Raza Alumni Club-Defunct,Member,Former
329614,MA12,CAA Lair of the Golden Bear Camper,Member,Current
329659,CAFCA,Friends of CAA,Friend,Current
329666,CAFCA,Friends of CAA,Friend,Current
329666,MA3,Cal Advocate,Advocate,Current
329680,CAFCA,Friends of CAA,Friend,Current
329680,MA3,Cal Advocate,Advocate,Current
329713,CAFCA,Friends of CAA,Friend,Current
329713,CED2,CED Mentorship Program,Mentor,Current
329719,ATFAT,Friends of Athletics,Friend,Current
329719,MB3,Big C Society,Member,Current
329728,CAFCA,Friends of CAA,Friend,Current
329777,CAFCA,Friends of CAA,Friend,Current
329777,CHECM,Chemistry CHEMillenium Era,Member,Current
329777,MA6,CAA Mentorship Program,Mentor,Former
329777,RC81,CAA Northern C's,Member,Current
329777,RD2,Chemistry Alumni Association,Member,Current
