entity_id,committee_code,committee_desc,committee_role_desc,unit_desc
792119,NULL,NULL,NULL,NULL
792120,NULL,NULL,NULL,NULL
792329,NULL,NULL,NULL,NULL
792360,NULL,NULL,NULL,NULL
792485,NULL,NULL,NULL,NULL
792498,NULL,NULL,NULL,NULL
792546,NULL,NULL,NULL,NULL
792562,NULL,NULL,NULL,NULL
792569,NULL,NULL,NULL,NULL
792593,NULL,NULL,NULL,NULL
792620,NULL,NULL,NULL,NULL
792666,NULL,NULL,NULL,NULL
792697,NULL,NULL,NULL,NULL
792720,NULL,NULL,NULL,NULL
792769,NULL,NULL,NULL,NULL
792869,NULL,NULL,NULL,NULL
792878,NULL,NULL,NULL,NULL
792886,NULL,NULL,NULL,NULL
792932,NULL,NULL,NULL,NULL
792934,NULL,NULL,NULL,NULL
792937,NULL,NULL,NULL,NULL
792962,NULL,NULL,NULL,NULL
792977,NULL,NULL,NULL,NULL
792978,NULL,NULL,NULL,NULL
792980,NULL,NULL,NULL,NULL
793014,NULL,NULL,NULL,NULL
793020,NULL,NULL,NULL,NULL
793034,NULL,NULL,NULL,NULL
793084,NULL,NULL,NULL,NULL
793109,NULL,NULL,NULL,NULL
793113,NULL,NULL,NULL,NULL
793119,NULL,NULL,NULL,NULL
793141,NULL,NULL,NULL,NULL
793150,NULL,NULL,NULL,NULL
793153,NULL,NULL,NULL,NULL
793154,NULL,NULL,NULL,NULL
793203,NULL,NULL,NULL,NULL
793250,NULL,NULL,NULL,NULL
793282,NULL,NULL,NULL,NULL
793297,NULL,NULL,NULL,NULL
793305,NULL,NULL,NULL,NULL
793307,NULL,NULL,NULL,NULL
793320,NULL,NULL,NULL,NULL
793348,NULL,NULL,NULL,NULL
793377,NULL,NULL,NULL,NULL
793458,NULL,NULL,NULL,NULL
793465,NULL,NULL,NULL,NULL
793471,NULL,NULL,NULL,NULL
793479,NULL,NULL,NULL,NULL
793483,NULL,NULL,NULL,NULL
793496,NULL,NULL,NULL,NULL
793499,NULL,NULL,NULL,NULL
793525,NULL,NULL,NULL,NULL
793530,NULL,NULL,NULL,NULL
793565,NULL,NULL,NULL,NULL
793567,NULL,NULL,NULL,NULL
793595,NULL,NULL,NULL,NULL
793721,NULL,NULL,NULL,NULL
793755,NULL,NULL,NULL,NULL
793760,NULL,NULL,NULL,NULL
793770,NULL,NULL,NULL,NULL
793798,NULL,NULL,NULL,NULL
793800,NULL,NULL,NULL,NULL
793818,NULL,NULL,NULL,NULL
793827,NULL,NULL,NULL,NULL
793846,NULL,NULL,NULL,NULL
793864,NULL,NULL,NULL,NULL
793889,NULL,NULL,NULL,NULL
793890,NULL,NULL,NULL,NULL
793903,NULL,NULL,NULL,NULL
793914,NULL,NULL,NULL,NULL
793941,NULL,NULL,NULL,NULL
793964,NULL,NULL,NULL,NULL
794006,NULL,NULL,NULL,NULL
794010,NULL,NULL,NULL,NULL
794012,NULL,NULL,NULL,NULL
794033,NULL,NULL,NULL,NULL
794092,BHON,Blue & Gold Bash Honorary Committee,Member,Univ Development/Alumni Relations - UDAR
794103,NULL,NULL,NULL,NULL
794136,NULL,NULL,NULL,NULL
794238,NULL,NULL,NULL,NULL
794274,NULL,NULL,NULL,NULL
794276,NULL,NULL,NULL,NULL
794353,NULL,NULL,NULL,NULL
794392,NULL,NULL,NULL,NULL
794459,NULL,NULL,NULL,NULL
794464,NULL,NULL,NULL,NULL
794466,NULL,NULL,NULL,NULL
794470,NULL,NULL,NULL,NULL
794507,NULL,NULL,NULL,NULL
794540,NULL,NULL,NULL,NULL
794544,NULL,NULL,NULL,NULL
794550,NULL,NULL,NULL,NULL
794564,NULL,NULL,NULL,NULL
794579,NULL,NULL,NULL,NULL
794603,NULL,NULL,NULL,NULL
794606,NULL,NULL,NULL,NULL
794613,NULL,NULL,NULL,NULL
794618,NULL,NULL,NULL,NULL
794620,NULL,NULL,NULL,NULL
794646,NULL,NULL,NULL,NULL
794684,NULL,NULL,NULL,NULL
794692,NULL,NULL,NULL,NULL
794699,NULL,NULL,NULL,NULL
794714,NULL,NULL,NULL,NULL
794718,NULL,NULL,NULL,NULL
794723,NULL,NULL,NULL,NULL
794738,NULL,NULL,NULL,NULL
794743,NULL,NULL,NULL,NULL
794770,NULL,NULL,NULL,NULL
794774,NULL,NULL,NULL,NULL
794807,NULL,NULL,NULL,NULL
794839,NULL,NULL,NULL,NULL
794853,NULL,NULL,NULL,NULL
794854,NULL,NULL,NULL,NULL
794877,NULL,NULL,NULL,NULL
794888,NULL,NULL,NULL,NULL
794898,NULL,NULL,NULL,NULL
794908,NULL,NULL,NULL,NULL
794930,NULL,NULL,NULL,NULL
794947,NULL,NULL,NULL,NULL
794948,NULL,NULL,NULL,NULL
794970,NULL,NULL,NULL,NULL
795006,NULL,NULL,NULL,NULL
795012,NULL,NULL,NULL,NULL
795036,NULL,NULL,NULL,NULL
795043,NULL,NULL,NULL,NULL
795050,NULL,NULL,NULL,NULL
795079,NULL,NULL,NULL,NULL
795087,NULL,NULL,NULL,NULL
795099,NULL,NULL,NULL,NULL
795101,NULL,NULL,NULL,NULL
795103,NULL,NULL,NULL,NULL
795105,NULL,NULL,NULL,NULL
795107,NULL,NULL,NULL,NULL
795164,NULL,NULL,NULL,NULL
795196,NULL,NULL,NULL,NULL
795226,NULL,NULL,NULL,NULL
795275,NULL,NULL,NULL,NULL
795282,NULL,NULL,NULL,NULL
795295,NULL,NULL,NULL,NULL
795303,NULL,NULL,NULL,NULL
795333,NULL,NULL,NULL,NULL
795339,NULL,NULL,NULL,NULL
795383,NULL,NULL,NULL,NULL
795411,NULL,NULL,NULL,NULL
795423,NULL,NULL,NULL,NULL
795435,NULL,NULL,NULL,NULL
795453,NULL,NULL,NULL,NULL
795457,NULL,NULL,NULL,NULL
795458,NULL,NULL,NULL,NULL
795459,NULL,NULL,NULL,NULL
795487,NULL,NULL,NULL,NULL
795528,NULL,NULL,NULL,NULL
795533,NULL,NULL,NULL,NULL
795538,NULL,NULL,NULL,NULL
795543,NULL,NULL,NULL,NULL
795568,NULL,NULL,NULL,NULL
795647,NULL,NULL,NULL,NULL
795657,NULL,NULL,NULL,NULL
795697,NULL,NULL,NULL,NULL
795728,NULL,NULL,NULL,NULL
795745,MU5,*Haas Development Council,Member,Business
795745,R2006,Class of 2006 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
795771,NULL,NULL,NULL,NULL
795772,NULL,NULL,NULL,NULL
795786,NULL,NULL,NULL,NULL
795843,NULL,NULL,NULL,NULL
795853,NULL,NULL,NULL,NULL
795857,NULL,NULL,NULL,NULL
795863,NULL,NULL,NULL,NULL
795885,NULL,NULL,NULL,NULL
795895,NULL,NULL,NULL,NULL
795898,NULL,NULL,NULL,NULL
795902,NULL,NULL,NULL,NULL
795918,NULL,NULL,NULL,NULL
795930,NULL,NULL,NULL,NULL
795932,NULL,NULL,NULL,NULL
795935,NULL,NULL,NULL,NULL
795937,NULL,NULL,NULL,NULL
795958,BUA36,Haas HAN Regional Rep/Contact,Member,Business
795968,NULL,NULL,NULL,NULL
795982,NULL,NULL,NULL,NULL
795995,NULL,NULL,NULL,NULL
796001,NULL,NULL,NULL,NULL
796003,NULL,NULL,NULL,NULL
796007,NULL,NULL,NULL,NULL
796012,NULL,NULL,NULL,NULL
796014,NULL,NULL,NULL,NULL
796018,NULL,NULL,NULL,NULL
796028,NULL,NULL,NULL,NULL
796031,NULL,NULL,NULL,NULL
796065,NULL,NULL,NULL,NULL
796075,NULL,NULL,NULL,NULL
796087,NULL,NULL,NULL,NULL
796096,NULL,NULL,NULL,NULL
796101,NULL,NULL,NULL,NULL
796104,NULL,NULL,NULL,NULL
796150,NULL,NULL,NULL,NULL
796206,NULL,NULL,NULL,NULL
796207,NULL,NULL,NULL,NULL
796214,NULL,NULL,NULL,NULL
796231,NULL,NULL,NULL,NULL
796234,NULL,NULL,NULL,NULL
796264,NULL,NULL,NULL,NULL
796276,NULL,NULL,NULL,NULL
796285,NULL,NULL,NULL,NULL
796290,NULL,NULL,NULL,NULL
796291,NULL,NULL,NULL,NULL
796294,NULL,NULL,NULL,NULL
796314,NULL,NULL,NULL,NULL
796317,NULL,NULL,NULL,NULL
796321,NULL,NULL,NULL,NULL
796331,NULL,NULL,NULL,NULL
796339,NULL,NULL,NULL,NULL
796343,BCLNX,Berkeley Club of London Exec Comm,Volunteer,International Relations - UDAR
796346,NULL,NULL,NULL,NULL
796349,NULL,NULL,NULL,NULL
796353,NULL,NULL,NULL,NULL
796360,NULL,NULL,NULL,NULL
796362,NULL,NULL,NULL,NULL
796369,NULL,NULL,NULL,NULL
796389,NULL,NULL,NULL,NULL
796391,NULL,NULL,NULL,NULL
796394,NULL,NULL,NULL,NULL
796395,NULL,NULL,NULL,NULL
796397,NULL,NULL,NULL,NULL
796420,NULL,NULL,NULL,NULL
796433,NULL,NULL,NULL,NULL
796434,NULL,NULL,NULL,NULL
796447,NULL,NULL,NULL,NULL
796493,NULL,NULL,NULL,NULL
796501,NULL,NULL,NULL,NULL
796516,NULL,NULL,NULL,NULL
796540,NULL,NULL,NULL,NULL
796552,R2007,Class of 2007 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
796556,NULL,NULL,NULL,NULL
796566,NULL,NULL,NULL,NULL
796570,R2007,Class of 2007 Reunion Committee,Member,Milestone & Next Gen Philanthropy - UDAR
796571,NULL,NULL,NULL,NULL
796600,NULL,NULL,NULL,NULL
796604,NULL,NULL,NULL,NULL
796608,NULL,NULL,NULL,NULL
796620,NULL,NULL,NULL,NULL
796623,NULL,NULL,NULL,NULL
796625,NULL,NULL,NULL,NULL
796630,NULL,NULL,NULL,NULL
796631,NULL,NULL,NULL,NULL
796638,NULL,NULL,NULL,NULL
796643,NULL,NULL,NULL,NULL
796646,NULL,NULL,NULL,NULL
796678,NULL,NULL,NULL,NULL
796681,NULL,NULL,NULL,NULL
796686,NULL,NULL,NULL,NULL
796688,NULL,NULL,NULL,NULL
796693,NULL,NULL,NULL,NULL
796698,NULL,NULL,NULL,NULL
796710,NULL,NULL,NULL,NULL
796711,NULL,NULL,NULL,NULL
796715,NULL,NULL,NULL,NULL
796725,NULL,NULL,NULL,NULL
796731,NULL,NULL,NULL,NULL
796743,NULL,NULL,NULL,NULL
796767,NULL,NULL,NULL,NULL
796782,NULL,NULL,NULL,NULL
796787,NULL,NULL,NULL,NULL
796788,NULL,NULL,NULL,NULL
796792,NULL,NULL,NULL,NULL
796799,NULL,NULL,NULL,NULL
796804,NULL,NULL,NULL,NULL
796806,NULL,NULL,NULL,NULL
796808,NULL,NULL,NULL,NULL
796810,NULL,NULL,NULL,NULL
796812,NULL,NULL,NULL,NULL
796814,NULL,NULL,NULL,NULL
796821,NULL,NULL,NULL,NULL
796822,NULL,NULL,NULL,NULL
796826,NULL,NULL,NULL,NULL
796827,NULL,NULL,NULL,NULL
796839,NULL,NULL,NULL,NULL
796841,NULL,NULL,NULL,NULL
796859,NULL,NULL,NULL,NULL
796864,NULL,NULL,NULL,NULL
796866,NULL,NULL,NULL,NULL
796885,NULL,NULL,NULL,NULL
796906,NULL,NULL,NULL,NULL
796924,NULL,NULL,NULL,NULL
796928,NULL,NULL,NULL,NULL
796942,NULL,NULL,NULL,NULL
796954,NULL,NULL,NULL,NULL
796973,NULL,NULL,NULL,NULL
796975,NULL,NULL,NULL,NULL
796977,NULL,NULL,NULL,NULL
796997,NULL,NULL,NULL,NULL
797024,NULL,NULL,NULL,NULL
