entity_id,awd_honor_code,awd_honor_desc
599805,NULL,NULL
599828,NULL,NULL
599835,NULL,NULL
599901,NULL,NULL
599936,NULL,NULL
599950,NULL,NULL
599987,NULL,NULL
600002,NULL,NULL
600015,NULL,NULL
600092,NULL,NULL
600108,NULL,NULL
600140,NULL,NULL
600142,NULL,NULL
600154,NULL,NULL
600176,NULL,NULL
600180,NULL,NULL
600206,NULL,NULL
600212,NULL,NULL
600220,NULL,NULL
600226,NULL,NULL
600239,NULL,NULL
600243,NULL,NULL
600308,NULL,NULL
600339,NULL,NULL
600382,NULL,NULL
600387,NULL,NULL
600403,NULL,NULL
600420,NULL,NULL
600428,NULL,NULL
600432,NULL,NULL
600459,NULL,NULL
600463,NULL,NULL
600477,NULL,NULL
600494,NULL,NULL
600498,NULL,NULL
600508,NULL,NULL
600520,NULL,NULL
600521,NULL,NULL
600530,NULL,NULL
600535,NULL,NULL
600544,NULL,NULL
600554,RCS,Regents'/Chancellor's Scholar Recipient
600608,NULL,NULL
600613,NULL,NULL
600622,NULL,NULL
600684,NULL,NULL
600706,NULL,NULL
600725,NULL,NULL
600731,NULL,NULL
600742,NULL,NULL
600743,NULL,NULL
600759,NULL,NULL
600775,NULL,NULL
600786,PBK,Phi Beta Kappa
600794,NULL,NULL
600805,NULL,NULL
600810,NULL,NULL
600827,NULL,NULL
600869,NULL,NULL
600872,NULL,NULL
600907,NULL,NULL
600943,NULL,NULL
600959,NULL,NULL
601018,NULL,NULL
601022,CAL,CAA Leadership Award Scholar
601023,NULL,NULL
601036,NULL,NULL
601037,NULL,NULL
601059,NULL,NULL
601061,NULL,NULL
601090,NULL,NULL
601094,NULL,NULL
601095,NULL,NULL
601099,NULL,NULL
601105,NULL,NULL
601113,NULL,NULL
601116,NULL,NULL
601134,NULL,NULL
601186,NULL,NULL
601188,NULL,NULL
601200,NULL,NULL
601216,NULL,NULL
601251,NULL,NULL
601289,NULL,NULL
601317,NULL,NULL
601336,NULL,NULL
601338,NULL,NULL
601359,IAS,Incentive Awards Scholar. Recipient
601362,PBK,Phi Beta Kappa
601371,NULL,NULL
601408,NULL,NULL
601423,NULL,NULL
601428,NULL,NULL
601453,NULL,NULL
601454,NULL,NULL
601472,NULL,NULL
601508,NULL,NULL
601526,NULL,NULL
601552,CAL,CAA Leadership Award Scholar
601563,NULL,NULL
601604,NULL,NULL
601620,NULL,NULL
601648,NULL,NULL
601652,NULL,NULL
601663,NULL,NULL
601691,NULL,NULL
601694,NULL,NULL
601696,NULL,NULL
601704,NULL,NULL
601709,NULL,NULL
601716,NULL,NULL
601721,NULL,NULL
601759,NULL,NULL
601785,NULL,NULL
601801,NULL,NULL
601881,NULL,NULL
601898,PBK,Phi Beta Kappa
601933,NULL,NULL
601976,NULL,NULL
601980,NULL,NULL
601994,NULL,NULL
602002,NULL,NULL
602014,CAL,CAA Leadership Award Scholar
602015,LVS,UA Levi Strauss Scholarship
602015,RCS,Regents'/Chancellor's Scholar Recipient
602020,NULL,NULL
602024,NULL,NULL
602030,NULL,NULL
602042,NULL,NULL
602057,NULL,NULL
602063,NULL,NULL
602075,PBK,Phi Beta Kappa
602076,NULL,NULL
602091,NULL,NULL
602107,NULL,NULL
602112,NULL,NULL
602119,NULL,NULL
602120,NULL,NULL
602126,NULL,NULL
602132,NULL,NULL
602138,NULL,NULL
602141,NULL,NULL
602150,CAL,CAA Leadership Award Scholar
602160,PBK,Phi Beta Kappa
602160,WHA,Winged Helmet Award
602161,NULL,NULL
602162,NULL,NULL
602168,NULL,NULL
602182,NULL,NULL
602184,NULL,NULL
602187,NULL,NULL
602188,NULL,NULL
602201,NULL,NULL
602206,NULL,NULL
602208,NULL,NULL
602218,NULL,NULL
602221,NULL,NULL
602238,NULL,NULL
602242,NULL,NULL
602247,NULL,NULL
602273,NULL,NULL
602274,NULL,NULL
602280,NULL,NULL
602290,NULL,NULL
602302,NULL,NULL
602304,NULL,NULL
602309,NULL,NULL
602314,NULL,NULL
602316,NULL,NULL
602322,NULL,NULL
602324,NULL,NULL
602335,NULL,NULL
602339,NULL,NULL
602346,NULL,NULL
602352,NULL,NULL
602354,NULL,NULL
602359,NULL,NULL
602361,NULL,NULL
602365,NULL,NULL
602371,PBK,Phi Beta Kappa
602373,NULL,NULL
602375,NULL,NULL
602378,NULL,NULL
602383,NULL,NULL
602392,NULL,NULL
602394,NULL,NULL
602400,NULL,NULL
602403,NULL,NULL
602411,NULL,NULL
602415,NULL,NULL
602418,NULL,NULL
602436,NULL,NULL
602440,PBK,Phi Beta Kappa
602441,NULL,NULL
602444,NULL,NULL
602448,LTC,Law and Technology Certificate
602464,NULL,NULL
602465,CAL,CAA Leadership Award Scholar
602480,NULL,NULL
602484,NULL,NULL
602491,NULL,NULL
602494,NULL,NULL
602510,NULL,NULL
602511,NULL,NULL
602514,NULL,NULL
602522,NULL,NULL
602538,PBK,Phi Beta Kappa
602558,CAK,Kenneth Priestley Leadership Award
602558,CAL,CAA Leadership Award Scholar
602564,NULL,NULL
602569,NULL,NULL
602574,NULL,NULL
602579,NULL,NULL
602581,NULL,NULL
602586,NULL,NULL
602603,NULL,NULL
602619,NULL,NULL
602621,NULL,NULL
602622,NULL,NULL
602627,NULL,NULL
602629,NULL,NULL
602643,NULL,NULL
602691,NULL,NULL
602693,NULL,NULL
602694,NULL,NULL
602704,NULL,NULL
602733,NULL,NULL
602737,NULL,NULL
602738,NULL,NULL
602752,NULL,NULL
602759,NULL,NULL
602764,NULL,NULL
602777,NULL,NULL
602778,NULL,NULL
602782,NULL,NULL
602811,NULL,NULL
602818,NULL,NULL
602822,NULL,NULL
602834,NULL,NULL
602860,NULL,NULL
602861,NULL,NULL
602864,NULL,NULL
602867,NULL,NULL
602868,NULL,NULL
602895,NULL,NULL
602902,NULL,NULL
602912,NULL,NULL
602917,NULL,NULL
602919,NULL,NULL
602937,NULL,NULL
602950,NULL,NULL
602969,NULL,NULL
602991,NULL,NULL
602998,NULL,NULL
603002,NULL,NULL
603004,NULL,NULL
603019,NULL,NULL
603021,NULL,NULL
603024,NULL,NULL
603045,NULL,NULL
603053,NULL,NULL
603060,NULL,NULL
603064,NULL,NULL
603072,NULL,NULL
603094,NULL,NULL
603099,NULL,NULL
603134,PBK,Phi Beta Kappa
603135,NULL,NULL
603145,NULL,NULL
603150,NULL,NULL
603152,NULL,NULL
603154,NULL,NULL
603156,NULL,NULL
603157,NULL,NULL
603159,NULL,NULL
603164,NULL,NULL
603189,NULL,NULL
603191,NULL,NULL
603197,NULL,NULL
603198,NULL,NULL
603201,NULL,NULL
603207,NULL,NULL
603213,CAL,CAA Leadership Award Scholar
603214,NULL,NULL
603215,NULL,NULL
603236,NULL,NULL
603256,NULL,NULL
603305,NULL,NULL
603310,CAL,CAA Leadership Award Scholar
603338,NULL,NULL
603339,NULL,NULL
603341,NULL,NULL
603347,NULL,NULL
603350,NULL,NULL
603356,NULL,NULL
603361,NULL,NULL
603377,PBK,Phi Beta Kappa
603384,NULL,NULL
603387,NULL,NULL
603393,RCS,Regents'/Chancellor's Scholar Recipient
603435,CAL,CAA Leadership Award Scholar
603450,NULL,NULL
603452,CAB,CAA Bradford S. King Award
603455,NULL,NULL
603463,NULL,NULL
603510,NULL,NULL
603512,NULL,NULL
603516,NULL,NULL
603518,NULL,NULL
603522,NULL,NULL
603527,NULL,NULL
603553,NULL,NULL
603556,NULL,NULL
603567,NULL,NULL
603569,NULL,NULL
603583,NULL,NULL
603586,NULL,NULL
603588,NULL,NULL
603612,NULL,NULL
603635,NULL,NULL
603648,NULL,NULL
603659,NULL,NULL
603661,NULL,NULL
603670,NULL,NULL
603674,NULL,NULL
603683,NULL,NULL
603687,NULL,NULL
603689,NULL,NULL
603691,NULL,NULL
603716,NULL,NULL
603717,NULL,NULL
603721,NULL,NULL
603739,NULL,NULL
603743,NULL,NULL
603745,NULL,NULL
603752,PBK,Phi Beta Kappa
603766,NULL,NULL
603823,NULL,NULL
603843,NULL,NULL
603845,NULL,NULL
603848,NULL,NULL
603854,NULL,NULL
603857,NULL,NULL
603863,IAS,Incentive Awards Scholar. Recipient
603868,NULL,NULL
603878,NULL,NULL
603883,NULL,NULL
603884,PBK,Phi Beta Kappa
603884,RCS,Regents'/Chancellor's Scholar Recipient
603886,NULL,NULL
603887,NULL,NULL
603891,NULL,NULL
603895,NULL,NULL
603902,NULL,NULL
603903,NULL,NULL
603913,NULL,NULL
603922,PBK,Phi Beta Kappa
603936,PBK,Phi Beta Kappa
603962,NULL,NULL
603971,NULL,NULL
604001,NULL,NULL
604006,NULL,NULL
604009,NULL,NULL
604019,NULL,NULL
604033,NULL,NULL
604036,NULL,NULL
604037,NULL,NULL
604040,NULL,NULL
604041,PBK,Phi Beta Kappa
604046,NULL,NULL
604047,NULL,NULL
604048,NULL,NULL
604050,NULL,NULL
604057,NULL,NULL
604065,NULL,NULL
604109,NULL,NULL
604118,NULL,NULL
604141,NULL,NULL
604186,NULL,NULL
604205,NULL,NULL
604209,NULL,NULL
604215,NULL,NULL
604239,NULL,NULL
604271,NULL,NULL
604278,NULL,NULL
604285,NULL,NULL
604306,CAL,CAA Leadership Award Scholar
604309,NULL,NULL
604315,NULL,NULL
604327,NULL,NULL
604332,NULL,NULL
604369,NULL,NULL
604384,NULL,NULL
604394,NULL,NULL
604399,PBK,Phi Beta Kappa
604409,NULL,NULL
604432,NULL,NULL
