entity_id,sport_code,sport_desc
872487,NULL,NULL
872490,NULL,NULL
872497,NULL,NULL
872498,NULL,NULL
872506,NULL,NULL
872507,NULL,NULL
872508,NULL,NULL
872510,NULL,NULL
872513,NULL,NULL
872516,NULL,NULL
872519,NULL,NULL
872520,NULL,NULL
872521,NULL,NULL
872523,NULL,NULL
872527,NULL,NULL
872528,NULL,NULL
872535,NULL,NULL
872536,NULL,NULL
872539,NULL,NULL
872545,NULL,NULL
872546,NULL,NULL
872547,NULL,NULL
872549,NULL,NULL
872552,NULL,NULL
872554,NULL,NULL
872560,NULL,NULL
872561,NULL,NULL
872562,RSIH,Cal Ice Hockey Club
872564,NULL,NULL
872565,NULL,NULL
872566,NULL,NULL
872567,NULL,NULL
872570,NULL,NULL
872573,NULL,NULL
872575,NULL,NULL
872577,NULL,NULL
872580,NULL,NULL
872581,NULL,NULL
872590,NULL,NULL
872591,NULL,NULL
872592,NULL,NULL
872594,NULL,NULL
872596,NULL,NULL
872597,NULL,NULL
872600,NULL,NULL
872604,NULL,NULL
872611,NULL,NULL
872613,NULL,NULL
872615,NULL,NULL
872616,NULL,NULL
872618,NULL,NULL
872623,NULL,NULL
872624,NULL,NULL
872631,NULL,NULL
872632,NULL,NULL
872633,NULL,NULL
872634,NULL,NULL
872635,NULL,NULL
872636,NULL,NULL
872640,NULL,NULL
872642,NULL,NULL
872643,NULL,NULL
872644,NULL,NULL
872646,NULL,NULL
872650,NULL,NULL
872660,NULL,NULL
872667,NULL,NULL
872668,NULL,NULL
872669,NULL,NULL
872672,NULL,NULL
872675,NULL,NULL
872676,NULL,NULL
872678,NULL,NULL
872679,NULL,NULL
872685,NULL,NULL
872687,NULL,NULL
872688,NULL,NULL
872690,NULL,NULL
872691,NULL,NULL
872696,NULL,NULL
872697,NULL,NULL
872699,NULL,NULL
872702,NULL,NULL
872703,NULL,NULL
872704,NULL,NULL
872705,NULL,NULL
872706,NULL,NULL
872709,NULL,NULL
872710,NULL,NULL
872711,NULL,NULL
872715,NULL,NULL
872716,NULL,NULL
872721,NULL,NULL
872722,NULL,NULL
872724,NULL,NULL
872726,NULL,NULL
872728,NULL,NULL
872729,NULL,NULL
872730,NULL,NULL
872731,NULL,NULL
872733,NULL,NULL
872734,NULL,NULL
872735,NULL,NULL
872736,NULL,NULL
872737,NULL,NULL
872738,NULL,NULL
872739,NULL,NULL
872741,NULL,NULL
872742,NULL,NULL
872743,NULL,NULL
872745,NULL,NULL
872746,NULL,NULL
872747,NULL,NULL
872748,NULL,NULL
872749,NULL,NULL
872750,NULL,NULL
872753,NULL,NULL
872755,NULL,NULL
872756,NULL,NULL
872757,NULL,NULL
872758,NULL,NULL
872759,NULL,NULL
872760,NULL,NULL
872762,NULL,NULL
872763,NULL,NULL
872764,NULL,NULL
872765,NULL,NULL
872766,NULL,NULL
872767,NULL,NULL
872768,NULL,NULL
872769,NULL,NULL
